winner,score1,score2,score3,score0,dealer,round1,round2,round3,round4,round5,round6,round7,round8,round9,round10,round11,round12,round13,round14,round15,round16,round17,round18,round19
2,137,164,107,148,3,"[10, 13, 0, 10]","[0, 0, 13, 10]","[12, 12, 11, 0]","[13, 0, 10, 11]","[0, 11, 0, 0]","[13, 10, 11, 0]","[10, 11, 0, 12]","[10, 11, 10, 0]","[10, 11, 10, 0]","[10, 0, 10, 10]","[10, 11, 0, 0]","[0, 11, 10, 10]","[0, 10, 14, 10]","[0, 0, 11, 12]","[10, 0, 11, 0]","[11, 14, 11, 0]","[14, 12, 10, 0]","[0, 0, 10, 11]","[15, 0, 12, 11]"
3,88,137,160,112,0,"[0, 12, 13, 13]","[13, 0, 11, 13]","[0, 0, 0, 12]","[12, 12, 12, 0]","[12, 0, 12, 10]","[12, 12, 10, 0]","[0, 0, 0, 0]","[10, 11, 11, 0]","[0, 0, 0, 10]","[10, 10, 0, 10]","[11, 10, 0, 11]","[11, 10, 0, 11]","[10, 0, 10, 10]","[11, 0, 13, 11]","[0, 0, 10, 11]","[0, 11, 12, 14]","[0, 0, 0, 14]","[0, 0, 13, 10]","[0, 0, 10, 0]"
3,155,100,184,120,1,"[12, 12, 0, 11]","[0, 0, 0, 13]","[0, 12, 11, 0]","[11, 0, 12, 14]","[14, 0, 12, 10]","[10, 12, 12, 0]","[12, 10, 0, 11]","[0, 0, 10, 10]","[0, 12, 10, 10]","[10, 10, 0, 11]","[10, 11, 10, 11]","[10, 11, 0, 10]","[10, 0, 12, 11]","[0, 10, 0, 0]","[0, 0, 0, 12]","[10, 14, 0, 12]","[0, 12, 0, 12]","[11, 15, 0, 12]","[0, 14, 11, 14]"
3,114,102,199,110,2,"[0, 0, 10, 14]","[0, 14, 11, 13]","[11, 0, 11, 16]","[11, 10, 0, 0]","[11, 12, 0, 11]","[0, 0, 0, 11]","[0, 0, 0, 10]","[11, 10, 0, 11]","[0, 0, 10, 11]","[10, 10, 0, 11]","[0, 0, 0, 10]","[11, 0, 0, 10]","[0, 12, 11, 10]","[12, 11, 10, 0]","[0, 11, 0, 11]","[10, 0, 14, 11]","[11, 12, 0, 13]","[12, 0, 11, 14]","[0, 12, 14, 12]"
3,99,140,172,75,3,"[0, 13, 11, 11]","[0, 0, 11, 11]","[10, 0, 12, 13]","[0, 10, 0, 0]","[11, 0, 12, 10]","[0, 0, 0, 12]","[12, 10, 10, 0]","[10, 0, 10, 11]","[0, 10, 11, 10]","[0, 10, 10, 11]","[0, 11, 10, 10]","[10, 0, 10, 11]","[0, 12, 10, 11]","[10, 12, 11, 0]","[0, 0, 0, 11]","[0, 0, 0, 12]","[12, 11, 0, 0]","[0, 0, 0, 15]","[0, 0, 12, 13]"
2,116,141,136,140,0,"[14, 14, 0, 11]","[13, 0, 13, 0]","[0, 12, 13, 11]","[0, 12, 12, 13]","[0, 10, 0, 0]","[11, 0, 11, 10]","[12, 0, 10, 11]","[10, 12, 10, 0]","[0, 10, 10, 11]","[11, 0, 10, 10]","[10, 11, 0, 11]","[0, 10, 10, 11]","[11, 13, 10, 0]","[11, 0, 10, 0]","[0, 12, 11, 11]","[10, 0, 11, 0]","[15, 0, 0, 11]","[0, 0, 0, 15]","[12, 0, 0, 0]"
1,136,108,110,96,1,"[12, 12, 0, 13]","[10, 0, 16, 0]","[0, 0, 13, 0]","[0, 10, 11, 0]","[0, 11, 13, 10]","[11, 0, 10, 11]","[0, 11, 13, 10]","[0, 0, 0, 11]","[0, 10, 0, 0]","[10, 10, 0, 11]","[0, 10, 0, 10]","[11, 0, 10, 0]","[10, 11, 0, 12]","[11, 0, 12, 10]","[10, 0, 0, 0]","[0, 13, 0, 0]","[11, 10, 0, 0]","[0, 13, 0, 12]","[0, 15, 10, 0]"
2,90,122,119,103,2,"[0, 0, 0, 11]","[12, 12, 0, 0]","[10, 0, 0, 0]","[11, 15, 0, 11]","[0, 10, 0, 11]","[11, 0, 11, 13]","[0, 0, 10, 10]","[0, 11, 10, 10]","[0, 0, 0, 11]","[0, 10, 10, 10]","[10, 0, 11, 10]","[11, 0, 11, 11]","[0, 0, 12, 0]","[0, 0, 0, 11]","[0, 10, 14, 0]","[14, 10, 12, 0]","[13, 12, 11, 0]","[11, 0, 0, 0]","[0, 0, 10, 0]"
2,140,179,158,108,3,"[0, 0, 12, 16]","[0, 0, 10, 12]","[13, 12, 11, 0]","[0, 0, 14, 11]","[0, 0, 0, 14]","[12, 10, 11, 0]","[11, 11, 11, 0]","[11, 10, 0, 11]","[10, 10, 11, 0]","[0, 10, 10, 11]","[0, 10, 10, 10]","[11, 0, 10, 11]","[10, 10, 13, 0]","[0, 11, 11, 12]","[0, 12, 11, 11]","[0, 11, 12, 12]","[0, 12, 0, 13]","[17, 11, 11, 0]","[13, 0, 11, 14]"
1,160,124,103,123,0,"[14, 0, 0, 0]","[0, 12, 13, 13]","[10, 0, 14, 0]","[0, 0, 0, 12]","[11, 11, 0, 0]","[12, 0, 0, 10]","[0, 11, 11, 12]","[10, 12, 11, 0]","[11, 10, 0, 10]","[0, 10, 10, 11]","[10, 10, 11, 0]","[0, 10, 10, 11]","[12, 0, 0, 0]","[11, 12, 11, 0]","[12, 13, 0, 10]","[0, 12, 10, 0]","[10, 13, 11, 0]","[0, 10, 0, 14]","[0, 14, 12, 0]"
3,136,113,162,157,1,"[12, 0, 0, 0]","[11, 0, 12, 14]","[11, 12, 0, 14]","[0, 12, 11, 13]","[14, 11, 0, 10]","[0, 0, 0, 0]","[10, 11, 0, 12]","[10, 11, 11, 0]","[10, 0, 0, 10]","[0, 10, 10, 10]","[10, 0, 10, 11]","[10, 0, 10, 10]","[11, 0, 0, 10]","[11, 11, 0, 13]","[0, 12, 11, 12]","[13, 11, 13, 0]","[11, 14, 0, 12]","[13, 11, 14, 11]","[0, 10, 11, 0]"
1,177,96,158,154,2,"[10, 16, 0, 13]","[11, 15, 11, 0]","[12, 13, 0, 11]","[12, 11, 0, 0]","[12, 0, 10, 11]","[10, 10, 0, 0]","[10, 0, 11, 10]","[10, 0, 0, 11]","[11, 10, 0, 11]","[10, 11, 10, 0]","[10, 10, 0, 10]","[0, 10, 10, 10]","[0, 10, 10, 10]","[0, 11, 12, 12]","[11, 0, 10, 12]","[0, 11, 12, 12]","[0, 12, 0, 0]","[12, 15, 0, 11]","[13, 12, 0, 14]"
0,142,98,138,172,3,"[0, 0, 0, 11]","[14, 0, 0, 10]","[13, 14, 10, 0]","[0, 0, 0, 0]","[13, 10, 11, 0]","[10, 13, 0, 10]","[10, 10, 0, 0]","[10, 10, 11, 0]","[0, 10, 11, 11]","[10, 0, 10, 10]","[11, 11, 10, 0]","[10, 10, 0, 11]","[12, 11, 0, 10]","[10, 11, 13, 0]","[11, 11, 0, 10]","[0, 11, 10, 12]","[13, 0, 12, 13]","[12, 10, 0, 16]","[13, 0, 0, 14]"
0,109,113,145,150,0,"[11, 12, 0, 0]","[12, 11, 13, 0]","[12, 10, 0, 13]","[12, 12, 12, 0]","[13, 0, 12, 11]","[0, 0, 0, 0]","[11, 0, 10, 10]","[0, 10, 10, 0]","[10, 11, 0, 10]","[10, 0, 11, 10]","[10, 11, 0, 11]","[11, 11, 0, 10]","[0, 10, 0, 11]","[0, 0, 0, 11]","[0, 0, 11, 10]","[12, 0, 11, 0]","[12, 0, 13, 11]","[14, 0, 10, 14]","[0, 11, 0, 13]"
0,149,102,97,153,1,"[11, 11, 0, 14]","[14, 10, 0, 0]","[10, 0, 16, 10]","[0, 12, 0, 0]","[0, 16, 10, 0]","[0, 11, 0, 0]","[11, 12, 10, 0]","[10, 11, 0, 10]","[11, 10, 0, 10]","[10, 10, 0, 11]","[11, 11, 10, 0]","[12, 11, 0, 10]","[10, 0, 12, 10]","[10, 12, 0, 11]","[11, 0, 11, 0]","[11, 12, 11, 0]","[0, 0, 12, 11]","[0, 0, 0, 0]","[11, 0, 10, 0]"
0,132,124,97,134,2,"[12, 0, 0, 12]","[12, 11, 0, 15]","[0, 0, 13, 0]","[13, 0, 11, 12]","[13, 10, 0, 0]","[0, 11, 11, 0]","[10, 0, 0, 0]","[10, 11, 10, 0]","[10, 10, 10, 0]","[10, 10, 10, 0]","[10, 0, 0, 0]","[10, 10, 11, 0]","[0, 10, 13, 11]","[0, 11, 0, 0]","[11, 0, 0, 13]","[0, 13, 11, 0]","[13, 0, 0, 11]","[0, 13, 13, 11]","[0, 12, 11, 12]"
