winner,score1,score2,score3,score0,dealer,round1,round2,round3,round4,round5,round6,round7,round8,round9,round10,round11,round12,round13,round14,round15,round16,round17,round18,round19
2,127,176,99,133,3,"[12, 14, 12, 0]","[10, 12, 12, 0]","[11, 14, 13, 0]","[0, 13, 0, 0]","[11, 0, 12, 0]","[0, 11, 13, 10]","[11, 10, 12, 0]","[10, 0, 13, 10]","[11, 11, 10, 0]","[0, 10, 10, 10]","[0, 10, 10, 12]","[10, 0, 0, 10]","[10, 0, 10, 13]","[0, 0, 10, 11]","[11, 11, 13, 0]","[0, 0, 0, 0]","[13, 0, 13, 11]","[0, 0, 13, 12]","[13, 11, 0, 0]"
0,139,88,122,153,0,"[15, 10, 13, 0]","[0, 12, 0, 0]","[14, 10, 0, 11]","[10, 0, 11, 14]","[0, 0, 0, 10]","[11, 10, 11, 0]","[11, 12, 0, 11]","[10, 0, 12, 10]","[0, 0, 11, 10]","[11, 0, 10, 10]","[0, 10, 0, 10]","[10, 10, 0, 0]","[0, 10, 10, 10]","[0, 11, 10, 0]","[12, 12, 0, 0]","[12, 0, 0, 0]","[10, 11, 0, 13]","[13, 11, 0, 13]","[14, 10, 0, 0]"
0,115,127,116,143,1,"[13, 10, 0, 13]","[0, 0, 10, 0]","[11, 0, 0, 14]","[0, 10, 12, 0]","[11, 0, 11, 12]","[0, 13, 0, 0]","[11, 0, 10, 0]","[0, 11, 10, 11]","[10, 0, 10, 10]","[10, 10, 0, 11]","[11, 10, 10, 0]","[10, 0, 10, 11]","[11, 10, 10, 0]","[12, 0, 10, 0]","[0, 0, 0, 10]","[0, 0, 12, 11]","[11, 14, 0, 0]","[10, 14, 0, 13]","[12, 13, 12, 0]"
1,183,100,115,125,2,"[0, 11, 0, 13]","[0, 13, 0, 11]","[10, 12, 13, 0]","[0, 0, 12, 12]","[13, 11, 0, 0]","[0, 12, 0, 0]","[0, 10, 0, 0]","[11, 0, 10, 11]","[0, 0, 10, 10]","[10, 10, 10, 0]","[0, 11, 10, 10]","[10, 13, 0, 10]","[11, 10, 10, 0]","[0, 13, 0, 0]","[11, 11, 11, 0]","[12, 10, 0, 0]","[15, 11, 0, 12]","[11, 14, 0, 12]","[11, 11, 14, 14]"
0,127,121,80,139,3,"[0, 13, 11, 0]","[12, 0, 0, 0]","[11, 13, 12, 0]","[0, 12, 0, 0]","[11, 12, 10, 0]","[11, 0, 0, 12]","[10, 10, 0, 11]","[10, 0, 0, 0]","[10, 11, 10, 0]","[10, 10, 11, 0]","[10, 0, 10, 11]","[0, 11, 11, 10]","[10, 0, 0, 0]","[0, 12, 10, 11]","[10, 0, 13, 0]","[0, 0, 0, 0]","[12, 12, 0, 12]","[0, 11, 12, 13]","[12, 0, 11, 0]"
0,136,120,112,166,0,"[10, 0, 0, 12]","[11, 13, 13, 0]","[10, 0, 0, 14]","[13, 0, 11, 11]","[11, 0, 14, 10]","[0, 10, 0, 11]","[11, 12, 11, 0]","[10, 10, 13, 0]","[11, 10, 10, 0]","[10, 0, 10, 10]","[10, 11, 0, 10]","[0, 10, 0, 11]","[10, 0, 0, 0]","[0, 13, 11, 11]","[0, 12, 0, 0]","[13, 11, 0, 12]","[14, 11, 11, 0]","[12, 0, 0, 0]","[10, 13, 16, 0]"
2,119,172,94,146,1,"[10, 0, 12, 15]","[13, 12, 13, 0]","[15, 12, 10, 0]","[11, 0, 10, 12]","[13, 11, 0, 12]","[0, 0, 11, 0]","[10, 0, 0, 0]","[10, 0, 10, 13]","[11, 0, 10, 10]","[10, 10, 10, 0]","[0, 10, 0, 0]","[0, 10, 10, 11]","[0, 10, 12, 10]","[0, 0, 13, 0]","[13, 12, 10, 0]","[10, 10, 12, 0]","[10, 0, 0, 0]","[0, 10, 14, 11]","[10, 12, 15, 0]"
0,135,122,102,169,2,"[13, 15, 0, 11]","[14, 11, 0, 0]","[10, 11, 0, 0]","[11, 0, 0, 11]","[0, 0, 10, 0]","[0, 11, 0, 0]","[11, 12, 10, 0]","[12, 0, 10, 10]","[10, 10, 10, 0]","[10, 10, 11, 0]","[10, 10, 11, 0]","[10, 10, 0, 11]","[10, 11, 13, 0]","[10, 0, 11, 13]","[15, 0, 0, 10]","[0, 0, 10, 14]","[0, 13, 12, 11]","[13, 11, 14, 0]","[10, 0, 0, 11]"
1,155,143,113,119,3,"[0, 12, 0, 0]","[14, 12, 13, 0]","[11, 0, 0, 12]","[12, 13, 0, 12]","[13, 11, 11, 0]","[0, 11, 11, 12]","[0, 10, 0, 0]","[0, 11, 0, 0]","[11, 10, 11, 0]","[0, 10, 10, 10]","[10, 12, 10, 0]","[11, 11, 0, 10]","[0, 11, 0, 12]","[0, 10, 12, 11]","[0, 11, 11, 12]","[0, 0, 13, 0]","[11, 0, 13, 11]","[13, 0, 15, 0]","[13, 0, 13, 11]"
1,135,126,118,120,0,"[0, 13, 12, 13]","[10, 11, 0, 14]","[13, 0, 0, 0]","[11, 0, 11, 11]","[0, 10, 12, 12]","[11, 0, 11, 0]","[10, 12, 11, 0]","[0, 10, 10, 0]","[10, 11, 0, 11]","[10, 10, 0, 10]","[10, 11, 0, 10]","[0, 0, 0, 0]","[11, 0, 11, 11]","[0, 13, 10, 11]","[0, 11, 0, 0]","[0, 12, 12, 0]","[11, 0, 12, 15]","[13, 11, 14, 0]","[0, 0, 0, 0]"
2,139,153,72,122,1,"[11, 11, 14, 0]","[0, 0, 12, 0]","[12, 13, 10, 0]","[10, 0, 13, 0]","[0, 12, 10, 12]","[10, 0, 0, 0]","[0, 0, 11, 0]","[0, 0, 10, 0]","[11, 0, 10, 11]","[10, 11, 0, 10]","[11, 11, 10, 0]","[0, 10, 0, 0]","[11, 12, 10, 0]","[11, 11, 11, 0]","[12, 12, 11, 0]","[0, 13, 10, 13]","[13, 11, 0, 10]","[0, 12, 0, 0]","[0, 0, 11, 16]"
0,135,133,110,140,2,"[11, 14, 11, 0]","[15, 10, 0, 12]","[0, 11, 12, 0]","[13, 0, 12, 10]","[11, 11, 0, 12]","[11, 11, 11, 0]","[0, 0, 11, 0]","[11, 10, 0, 11]","[11, 0, 0, 0]","[11, 10, 10, 0]","[0, 10, 10, 11]","[12, 0, 10, 10]","[0, 11, 13, 10]","[10, 0, 0, 12]","[0, 12, 11, 11]","[0, 10, 0, 0]","[12, 0, 11, 0]","[12, 15, 11, 0]","[0, 0, 0, 11]"
0,142,127,97,178,3,"[12, 12, 0, 10]","[0, 12, 0, 11]","[11, 0, 0, 12]","[12, 0, 0, 0]","[12, 0, 12, 10]","[12, 12, 0, 10]","[12, 11, 10, 0]","[10, 10, 0, 0]","[10, 10, 11, 0]","[0, 11, 10, 10]","[10, 10, 0, 10]","[10, 11, 10, 0]","[0, 11, 11, 10]","[10, 10, 13, 0]","[10, 0, 0, 0]","[11, 12, 12, 0]","[13, 0, 11, 0]","[11, 0, 12, 14]","[12, 10, 15, 0]"
2,141,161,153,122,0,"[15, 0, 0, 12]","[0, 14, 13, 11]","[0, 15, 11, 11]","[0, 10, 14, 0]","[0, 12, 10, 13]","[12, 11, 0, 10]","[10, 0, 12, 11]","[10, 10, 0, 13]","[10, 0, 10, 10]","[10, 10, 0, 10]","[10, 0, 10, 10]","[0, 10, 10, 10]","[0, 12, 11, 10]","[10, 0, 13, 0]","[10, 12, 11, 0]","[13, 0, 11, 12]","[12, 12, 0, 0]","[0, 0, 13, 10]","[0, 13, 12, 0]"
0,121,97,121,163,1,"[10, 0, 15, 0]","[11, 13, 0, 14]","[0, 11, 14, 11]","[12, 0, 0, 0]","[11, 0, 12, 11]","[11, 11, 0, 11]","[0, 10, 0, 10]","[10, 0, 10, 10]","[10, 0, 10, 10]","[10, 10, 0, 11]","[10, 11, 11, 0]","[10, 10, 0, 11]","[10, 11, 11, 0]","[0, 0, 0, 0]","[10, 0, 0, 11]","[14, 11, 0, 11]","[12, 11, 0, 0]","[0, 0, 0, 0]","[12, 12, 14, 0]"
2,143,185,105,101,2,"[11, 11, 11, 0]","[0, 10, 12, 0]","[0, 11, 11, 0]","[11, 10, 0, 10]","[11, 11, 13, 0]","[12, 0, 11, 10]","[10, 12, 10, 0]","[11, 0, 10, 11]","[10, 10, 0, 11]","[0, 10, 10, 10]","[0, 11, 10, 11]","[0, 10, 11, 10]","[0, 13, 10, 10]","[0, 10, 10, 11]","[12, 0, 12, 0]","[13, 14, 10, 0]","[0, 0, 11, 0]","[0, 0, 12, 0]","[0, 0, 11, 11]"
