winner,score1,score2,score3,score0,score4,dealer,round1,round2,round3,round4,round5,round6,round7,round8,round9,round10,round11,round12,round13,round14,round15,round16,round17,round18,round19
4,137,135,144,151,164,3,"[0, 11, 13, 11, 12]","[12, 14, 11, 10, 0]","[10, 0, 12, 0, 0]","[0, 13, 12, 11, 11]","[0, 0, 0, 11, 10]","[12, 0, 10, 0, 10]","[10, 10, 0, 14, 10]","[0, 0, 10, 10, 10]","[10, 11, 0, 10, 11]","[10, 10, 0, 10, 10]","[10, 0, 10, 11, 11]","[10, 10, 11, 0, 11]","[0, 12, 10, 11, 11]","[10, 0, 0, 0, 10]","[11, 10, 0, 0, 11]","[11, 13, 10, 0, 12]","[12, 0, 0, 11, 14]","[10, 13, 12, 12, 0]","[13, 10, 14, 12, 0]"
1,158,131,133,153,129,4,"[11, 14, 14, 0, 10]","[0, 0, 0, 12, 10]","[0, 10, 0, 0, 0]","[10, 13, 0, 11, 12]","[11, 0, 10, 12, 12]","[10, 0, 0, 12, 10]","[0, 10, 12, 10, 10]","[10, 13, 10, 10, 0]","[0, 10, 0, 10, 10]","[10, 10, 10, 0, 11]","[10, 11, 10, 10, 0]","[11, 11, 10, 0, 11]","[10, 0, 10, 0, 0]","[13, 10, 10, 10, 0]","[12, 10, 13, 10, 0]","[12, 11, 11, 0, 0]","[0, 0, 11, 0, 11]","[12, 14, 0, 10, 12]","[11, 11, 0, 16, 10]"
4,165,118,148,110,172,0,"[0, 12, 12, 14, 10]","[0, 11, 12, 0, 0]","[12, 10, 0, 13, 11]","[0, 0, 11, 0, 11]","[0, 10, 11, 0, 0]","[0, 10, 0, 11, 0]","[11, 10, 0, 10, 11]","[11, 10, 10, 0, 11]","[10, 10, 11, 0, 11]","[10, 10, 0, 11, 10]","[0, 10, 10, 10, 11]","[11, 0, 0, 0, 10]","[11, 13, 0, 10, 10]","[12, 11, 0, 10, 11]","[11, 0, 10, 10, 10]","[0, 13, 10, 13, 10]","[11, 0, 11, 13, 10]","[0, 11, 0, 12, 12]","[0, 14, 10, 11, 13]"
1,138,126,128,129,124,1,"[0, 0, 0, 12, 11]","[11, 13, 10, 0, 13]","[0, 0, 10, 0, 14]","[11, 12, 0, 10, 0]","[0, 10, 0, 11, 0]","[12, 11, 12, 10, 0]","[10, 11, 10, 0, 0]","[11, 0, 11, 11, 10]","[10, 0, 0, 10, 0]","[0, 10, 10, 10, 10]","[11, 11, 10, 10, 0]","[11, 10, 10, 0, 10]","[10, 11, 11, 0, 10]","[11, 0, 0, 11, 0]","[0, 13, 11, 11, 10]","[11, 0, 11, 11, 13]","[10, 14, 10, 0, 12]","[0, 0, 0, 0, 11]","[0, 12, 0, 11, 0]"
2,130,191,179,151,87,2,"[12, 14, 11, 12, 0]","[12, 12, 13, 12, 0]","[12, 0, 11, 0, 0]","[0, 0, 13, 10, 0]","[0, 0, 10, 11, 11]","[0, 0, 11, 11, 10]","[10, 10, 12, 12, 0]","[10, 11, 11, 11, 0]","[0, 11, 10, 10, 10]","[10, 10, 10, 10, 0]","[10, 10, 10, 10, 0]","[10, 11, 10, 10, 0]","[10, 0, 10, 12, 11]","[0, 10, 11, 11, 11]","[10, 0, 11, 13, 10]","[11, 10, 13, 0, 12]","[11, 0, 0, 11, 12]","[12, 10, 0, 0, 0]","[11, 11, 14, 13, 0]"
1,155,124,107,152,143,3,"[12, 11, 13, 10, 0]","[0, 11, 0, 0, 12]","[11, 0, 10, 0, 0]","[10, 13, 10, 0, 14]","[10, 10, 0, 11, 13]","[11, 12, 11, 0, 10]","[0, 10, 0, 0, 0]","[0, 10, 0, 10, 0]","[10, 0, 0, 0, 10]","[10, 10, 10, 0, 10]","[0, 10, 10, 12, 10]","[11, 10, 11, 0, 10]","[10, 10, 12, 10, 0]","[0, 13, 11, 11, 10]","[12, 11, 12, 11, 0]","[11, 14, 0, 10, 11]","[11, 0, 0, 11, 11]","[12, 0, 0, 11, 11]","[11, 0, 14, 0, 11]"
4,138,141,148,157,167,4,"[13, 0, 12, 13, 0]","[11, 12, 10, 0, 14]","[13, 11, 0, 12, 10]","[0, 10, 11, 12, 12]","[13, 0, 10, 0, 11]","[10, 10, 12, 11, 0]","[0, 11, 0, 10, 11]","[11, 11, 10, 0, 11]","[10, 0, 12, 10, 10]","[11, 10, 10, 0, 10]","[0, 11, 11, 10, 10]","[11, 0, 10, 10, 0]","[0, 11, 0, 10, 0]","[10, 11, 10, 0, 11]","[10, 10, 0, 10, 12]","[10, 10, 11, 0, 12]","[12, 0, 0, 14, 11]","[12, 10, 0, 12, 10]","[0, 0, 12, 14, 12]"
2,145,178,147,98,143,0,"[11, 13, 13, 11, 0]","[10, 0, 12, 11, 14]","[0, 13, 11, 0, 0]","[0, 0, 13, 0, 10]","[0, 10, 13, 0, 0]","[0, 11, 10, 13, 10]","[0, 0, 10, 10, 10]","[11, 0, 10, 10, 11]","[10, 10, 0, 12, 10]","[10, 10, 0, 0, 11]","[0, 10, 10, 11, 11]","[0, 0, 10, 10, 10]","[10, 11, 0, 10, 12]","[0, 0, 11, 0, 10]","[11, 11, 11, 11, 0]","[12, 11, 11, 12, 0]","[13, 12, 11, 0, 11]","[0, 11, 11, 12, 13]","[0, 12, 11, 14, 0]"
4,130,109,152,106,160,1,"[10, 0, 13, 12, 13]","[12, 0, 0, 14, 11]","[0, 11, 0, 0, 12]","[0, 10, 11, 11, 0]","[10, 11, 0, 0, 10]","[0, 0, 0, 11, 10]","[10, 0, 11, 12, 10]","[11, 10, 0, 12, 10]","[0, 10, 11, 10, 11]","[0, 10, 11, 10, 10]","[10, 0, 10, 11, 10]","[11, 10, 10, 0, 10]","[10, 11, 0, 0, 10]","[0, 10, 12, 10, 0]","[10, 0, 10, 0, 10]","[0, 0, 10, 13, 0]","[0, 13, 0, 0, 12]","[0, 12, 0, 13, 0]","[12, 12, 0, 13, 11]"
2,143,156,93,108,134,2,"[13, 11, 10, 0, 0]","[11, 13, 11, 0, 12]","[0, 11, 12, 0, 0]","[10, 0, 0, 0, 0]","[13, 0, 0, 11, 0]","[10, 12, 10, 10, 0]","[10, 10, 12, 0, 12]","[0, 10, 11, 0, 0]","[0, 11, 10, 10, 11]","[10, 0, 11, 10, 10]","[10, 12, 0, 10, 10]","[0, 10, 0, 10, 10]","[10, 12, 10, 0, 11]","[0, 10, 11, 10, 12]","[0, 10, 0, 0, 10]","[0, 0, 12, 0, 12]","[0, 0, 11, 11, 0]","[0, 0, 12, 11, 11]","[11, 11, 13, 0, 13]"
