winner,score1,score2,score3,score0,dealer,round1,round2,round3,round4,round5,round6,round7,round8,round9,round10,round11,round12,round13,round14,round15,round16,round17,round18,round19
2,132,159,158,112,1,"[0, 0, 11, 13]","[12, 11, 14, 0]","[14, 11, 0, 11]","[0, 11, 0, 13]","[0, 0, 12, 12]","[0, 0, 11, 11]","[10, 13, 11, 0]","[10, 10, 0, 11]","[10, 0, 11, 10]","[10, 10, 10, 0]","[0, 10, 10, 10]","[10, 0, 11, 11]","[0, 10, 12, 10]","[0, 11, 11, 12]","[11, 0, 10, 11]","[0, 0, 11, 0]","[12, 10, 0, 11]","[13, 12, 0, 12]","[0, 13, 14, 0]"
0,112,140,129,180,2,"[12, 0, 0, 14]","[12, 12, 0, 14]","[12, 13, 11, 0]","[0, 0, 12, 0]","[14, 0, 10, 11]","[12, 12, 10, 0]","[10, 0, 10, 13]","[12, 11, 0, 10]","[10, 11, 0, 11]","[10, 10, 11, 0]","[10, 10, 0, 0]","[0, 10, 10, 11]","[10, 0, 0, 0]","[12, 0, 10, 11]","[0, 10, 14, 10]","[11, 0, 0, 0]","[12, 0, 13, 10]","[11, 0, 14, 14]","[10, 13, 15, 0]"
1,147,122,121,144,3,"[0, 12, 0, 0]","[10, 0, 12, 12]","[14, 12, 0, 0]","[0, 11, 11, 11]","[10, 12, 12, 0]","[10, 11, 0, 12]","[12, 11, 0, 10]","[11, 11, 0, 10]","[10, 11, 0, 11]","[0, 10, 10, 10]","[10, 0, 11, 11]","[0, 10, 11, 10]","[12, 11, 10, 0]","[10, 13, 10, 0]","[0, 0, 11, 0]","[11, 12, 0, 11]","[0, 0, 12, 0]","[12, 0, 12, 0]","[12, 0, 0, 13]"
3,134,121,170,112,0,"[0, 12, 0, 13]","[14, 0, 11, 11]","[0, 0, 11, 11]","[12, 10, 12, 0]","[12, 10, 0, 12]","[12, 0, 11, 10]","[0, 0, 10, 10]","[10, 10, 0, 10]","[0, 11, 10, 11]","[10, 0, 10, 10]","[0, 11, 11, 10]","[10, 10, 0, 13]","[11, 11, 0, 11]","[10, 15, 0, 0]","[0, 12, 13, 0]","[11, 0, 11, 0]","[0, 11, 0, 12]","[0, 11, 11, 14]","[0, 0, 0, 12]"
3,145,106,150,133,1,"[0, 0, 12, 0]","[16, 0, 10, 0]","[0, 0, 10, 12]","[0, 12, 0, 0]","[10, 13, 0, 11]","[0, 10, 10, 11]","[0, 11, 0, 0]","[0, 10, 11, 10]","[10, 10, 0, 11]","[10, 10, 10, 0]","[10, 10, 0, 11]","[10, 11, 11, 0]","[11, 0, 11, 10]","[11, 0, 11, 12]","[11, 11, 0, 12]","[10, 11, 0, 11]","[12, 11, 0, 10]","[0, 15, 10, 13]","[12, 0, 0, 16]"
1,173,159,145,110,2,"[0, 14, 12, 12]","[0, 0, 13, 0]","[13, 12, 0, 11]","[0, 13, 13, 11]","[0, 0, 0, 11]","[12, 11, 11, 0]","[0, 11, 10, 12]","[10, 11, 10, 0]","[11, 10, 0, 10]","[10, 11, 10, 0]","[0, 11, 10, 10]","[10, 11, 10, 0]","[11, 11, 0, 11]","[12, 10, 0, 11]","[10, 0, 13, 12]","[11, 0, 11, 13]","[0, 12, 11, 11]","[0, 12, 13, 0]","[0, 13, 12, 10]"
3,77,137,141,108,3,"[12, 0, 11, 12]","[0, 0, 12, 11]","[0, 0, 0, 14]","[0, 12, 0, 10]","[12, 0, 11, 10]","[0, 0, 10, 10]","[10, 0, 0, 11]","[0, 11, 10, 10]","[10, 11, 10, 0]","[0, 10, 10, 10]","[0, 0, 0, 11]","[10, 10, 0, 0]","[10, 12, 0, 10]","[11, 0, 12, 12]","[11, 0, 12, 10]","[10, 0, 0, 0]","[0, 0, 12, 0]","[0, 11, 14, 0]","[12, 0, 13, 0]"
0,102,140,157,178,0,"[11, 0, 16, 11]","[0, 10, 11, 16]","[0, 14, 11, 12]","[0, 0, 11, 0]","[10, 0, 12, 12]","[11, 0, 0, 11]","[10, 0, 11, 11]","[10, 11, 0, 10]","[10, 0, 11, 10]","[10, 0, 10, 10]","[10, 11, 0, 10]","[10, 11, 0, 0]","[10, 10, 0, 0]","[13, 0, 11, 10]","[10, 0, 0, 11]","[11, 12, 12, 0]","[15, 12, 0, 10]","[15, 11, 13, 0]","[12, 0, 11, 13]"
1,162,79,157,153,1,"[0, 15, 12, 12]","[10, 0, 0, 0]","[10, 11, 0, 15]","[0, 11, 0, 10]","[0, 10, 12, 11]","[10, 0, 0, 10]","[12, 10, 0, 10]","[0, 10, 0, 0]","[11, 0, 11, 10]","[10, 10, 0, 10]","[10, 11, 0, 11]","[11, 10, 0, 11]","[0, 11, 11, 10]","[11, 13, 0, 10]","[12, 0, 10, 0]","[10, 12, 0, 14]","[13, 14, 11, 0]","[11, 0, 0, 13]","[12, 14, 12, 0]"
1,160,135,105,89,2,"[0, 10, 0, 0]","[11, 0, 0, 11]","[12, 14, 11, 0]","[0, 0, 11, 0]","[0, 12, 10, 11]","[0, 12, 0, 10]","[12, 10, 12, 0]","[0, 10, 0, 0]","[11, 10, 0, 10]","[0, 10, 10, 10]","[11, 11, 10, 0]","[0, 12, 10, 11]","[10, 12, 0, 10]","[12, 0, 10, 11]","[0, 12, 10, 0]","[0, 0, 0, 0]","[0, 12, 15, 11]","[0, 13, 12, 10]","[10, 0, 14, 0]"
