seed,winner,score1,score2,score3,score0,dealer,round1,round2,round3,round4,round5,round6,round7,round8,round9,round10,round11,round12,round13,round14,round15,round16,round17,round18,round19
18000,1,141,134,134,136,0,"[12, 0, 10, 11]","[16, 11, 12, 0]","[11, 11, 14, 0]","[12, 0, 0, 0]","[15, 10, 0, 10]","[11, 0, 0, 0]","[0, 11, 12, 11]","[0, 11, 11, 11]","[0, 10, 0, 10]","[0, 10, 10, 10]","[0, 0, 10, 10]","[10, 10, 11, 0]","[0, 10, 11, 13]","[11, 0, 12, 11]","[13, 11, 0, 12]","[12, 0, 11, 0]","[0, 10, 0, 0]","[13, 14, 0, 10]","[0, 12, 10, 15]"
18001,2,110,156,123,124,1,"[12, 0, 11, 11]","[0, 0, 0, 0]","[11, 17, 10, 0]","[12, 0, 0, 0]","[11, 11, 13, 0]","[12, 0, 12, 11]","[11, 0, 10, 10]","[0, 0, 10, 11]","[0, 10, 10, 11]","[10, 0, 10, 10]","[0, 0, 0, 10]","[0, 10, 10, 0]","[10, 11, 0, 12]","[0, 12, 10, 11]","[0, 11, 11, 13]","[11, 0, 12, 0]","[0, 13, 12, 0]","[12, 15, 0, 0]","[12, 0, 15, 13]"
18002,0,133,137,59,165,2,"[10, 0, 11, 16]","[12, 0, 0, 11]","[11, 0, 12, 0]","[13, 10, 13, 0]","[13, 12, 11, 0]","[10, 11, 11, 0]","[10, 11, 0, 11]","[0, 10, 0, 0]","[0, 0, 0, 10]","[10, 10, 10, 0]","[10, 11, 11, 0]","[10, 0, 10, 0]","[11, 11, 0, 11]","[11, 11, 0, 0]","[12, 11, 12, 0]","[11, 12, 12, 0]","[11, 0, 12, 0]","[0, 0, 12, 0]","[0, 13, 0, 0]"
18003,0,110,130,122,148,3,"[0, 0, 0, 12]","[12, 11, 11, 0]","[0, 12, 11, 12]","[12, 10, 11, 0]","[11, 0, 13, 12]","[10, 0, 0, 0]","[0, 10, 11, 0]","[10, 0, 10, 10]","[0, 10, 10, 10]","[0, 10, 10, 10]","[11, 11, 10, 10]","[11, 0, 11, 11]","[10, 0, 0, 0]","[11, 11, 11, 0]","[14, 11, 11, 0]","[0, 0, 0, 11]","[13, 0, 0, 0]","[12, 14, 0, 11]","[11, 0, 0, 13]"
18004,2,132,153,126,119,0,"[0, 13, 10, 0]","[12, 12, 13, 0]","[11, 14, 12, 11]","[10, 14, 0, 12]","[12, 0, 10, 13]","[11, 11, 10, 0]","[10, 0, 12, 10]","[11, 12, 0, 10]","[0, 0, 0, 10]","[0, 10, 10, 11]","[10, 10, 0, 10]","[0, 0, 11, 0]","[0, 12, 10, 0]","[10, 11, 11, 0]","[0, 0, 11, 0]","[11, 0, 10, 12]","[0, 0, 10, 13]","[0, 0, 0, 14]","[11, 13, 13, 0]"
18005,1,158,114,131,120,1,"[0, 0, 13, 11]","[11, 14, 0, 0]","[0, 12, 11, 12]","[0, 0, 0, 11]","[13, 0, 10, 12]","[0, 14, 10, 0]","[11, 10, 10, 0]","[10, 11, 0, 12]","[11, 10, 0, 11]","[10, 10, 0, 10]","[10, 11, 0, 10]","[10, 12, 0, 10]","[11, 0, 10, 10]","[0, 0, 0, 11]","[0, 10, 10, 11]","[11, 12, 0, 0]","[0, 10, 12, 0]","[0, 11, 15, 0]","[12, 11, 13, 0]"
18006,0,85,129,110,168,2,"[11, 0, 13, 0]","[10, 10, 0, 0]","[12, 11, 0, 12]","[0, 0, 10, 11]","[10, 0, 0, 0]","[12, 11, 0, 11]","[10, 0, 0, 0]","[0, 0, 11, 0]","[10, 0, 10, 11]","[10, 10, 0, 11]","[0, 10, 0, 10]","[0, 10, 11, 10]","[12, 0, 10, 0]","[10, 0, 0, 0]","[14, 10, 12, 0]","[11, 0, 12, 11]","[13, 0, 13, 10]","[12, 13, 13, 0]","[11, 0, 14, 13]"
18007,2,130,157,134,122,3,"[0, 0, 0, 0]","[13, 11, 15, 0]","[14, 11, 0, 0]","[11, 0, 12, 13]","[12, 12, 11, 0]","[0, 10, 11, 11]","[0, 0, 10, 11]","[10, 10, 0, 11]","[0, 10, 12, 10]","[0, 10, 10, 10]","[11, 0, 10, 10]","[0, 10, 10, 13]","[0, 10, 13, 10]","[0, 11, 0, 0]","[14, 12, 10, 0]","[0, 13, 11, 12]","[13, 0, 10, 12]","[12, 0, 0, 0]","[12, 0, 12, 11]"
18008,0,104,122,130,132,0,"[12, 14, 0, 10]","[0, 0, 13, 0]","[12, 0, 0, 13]","[0, 0, 0, 0]","[11, 11, 13, 0]","[0, 13, 10, 11]","[11, 0, 10, 0]","[12, 11, 0, 10]","[10, 10, 0, 11]","[0, 10, 10, 11]","[11, 11, 10, 0]","[11, 11, 0, 10]","[10, 0, 0, 0]","[11, 0, 10, 12]","[0, 0, 13, 0]","[0, 0, 11, 0]","[0, 0, 10, 11]","[11, 0, 12, 15]","[10, 13, 0, 16]"
18009,1,152,142,108,115,1,"[0, 11, 12, 0]","[12, 10, 14, 0]","[0, 12, 13, 12]","[0, 10, 13, 13]","[11, 0, 12, 11]","[11, 0, 10, 12]","[0, 13, 10, 10]","[0, 10, 11, 10]","[0, 11, 11, 10]","[10, 10, 0, 10]","[11, 11, 0, 10]","[0, 10, 0, 0]","[13, 10, 11, 0]","[10, 0, 0, 0]","[13, 12, 0, 10]","[13, 10, 13, 0]","[11, 0, 0, 0]","[0, 12, 0, 0]","[0, 0, 12, 0]"
