gameID,player,numTricks,numParticles,lambda,useHeuristic,mcIterations,selfish,score,tricksWon,bid,dealer
0,0,8,2000,1.3,False,1000,True,0,2,1,3
0,1,8,2000,1.3,False,0,True,0,2,4,3
0,2,8,2000,1.3,False,0,True,12,2,2,3
0,3,8,2000,1.3,False,0,True,0,2,0,3
1,0,8,2000,1.3,False,1000,True,0,2,3,1
1,1,8,2000,1.3,False,0,True,11,1,1,1
1,2,8,2000,1.3,False,0,True,12,2,2,1
1,3,8,2000,1.3,False,0,True,13,3,3,1
2,0,8,2000,1.3,False,1000,True,12,2,2,0
2,1,8,2000,1.3,False,0,True,10,0,0,0
2,2,8,2000,1.3,False,0,True,0,4,3,0
2,3,8,2000,1.3,False,0,True,12,2,2,0
3,0,8,2000,1.3,False,1000,True,10,0,0,1
3,1,8,2000,1.3,False,0,True,0,2,4,1
3,2,8,2000,1.3,False,0,True,0,2,3,1
3,3,8,2000,1.3,False,0,True,0,4,2,1
4,0,8,2000,1.3,False,1000,True,12,2,2,1
4,1,8,2000,1.3,False,0,True,11,1,1,1
4,2,8,2000,1.3,False,0,True,0,3,2,1
4,3,8,2000,1.3,False,0,True,12,2,2,1
5,0,8,2000,1.3,False,1000,True,11,1,1,2
5,1,8,2000,1.3,False,0,True,0,6,5,2
5,2,8,2000,1.3,False,0,True,0,0,1,2
5,3,8,2000,1.3,False,0,True,0,1,2,2
6,0,8,2000,1.3,False,1000,True,13,3,3,0
6,1,8,2000,1.3,False,0,True,12,2,2,0
6,2,8,2000,1.3,False,0,True,0,1,2,0
6,3,8,2000,1.3,False,0,True,12,2,2,0
7,0,8,2000,1.3,False,1000,True,11,1,1,2
7,1,8,2000,1.3,False,0,True,0,4,5,2
7,2,8,2000,1.3,False,0,True,12,2,2,2
7,3,8,2000,1.3,False,0,True,11,1,1,2
8,0,8,2000,1.3,False,1000,True,11,1,1,1
8,1,8,2000,1.3,False,0,True,0,2,4,1
8,2,8,2000,1.3,False,0,True,0,3,1,1
8,3,8,2000,1.3,False,0,True,0,2,3,1
9,0,8,2000,1.3,False,1000,True,0,1,2,3
9,1,8,2000,1.3,False,0,True,0,6,5,3
9,2,8,2000,1.3,False,0,True,0,1,0,3
9,3,8,2000,1.3,False,0,True,10,0,0,3
10,0,8,2000,1.3,False,1000,True,0,1,2,0
10,1,8,2000,1.3,False,0,True,13,3,3,0
10,2,8,2000,1.3,False,0,True,0,2,1,0
10,3,8,2000,1.3,False,0,True,0,2,3,0
11,0,8,2000,1.3,False,1000,True,0,2,3,3
11,1,8,2000,1.3,False,0,True,0,3,2,3
11,2,8,2000,1.3,False,0,True,0,3,1,3
11,3,8,2000,1.3,False,0,True,10,0,0,3
12,0,8,2000,1.3,False,1000,True,10,0,0,3
12,1,8,2000,1.3,False,0,True,0,0,1,3
12,2,8,2000,1.3,False,0,True,0,2,4,3
12,3,8,2000,1.3,False,0,True,0,6,5,3
13,0,8,2000,1.3,False,1000,True,16,6,6,2
13,1,8,2000,1.3,False,0,True,10,0,0,2
13,2,8,2000,1.3,False,0,True,11,1,1,2
13,3,8,2000,1.3,False,0,True,0,1,0,2
14,0,8,2000,1.3,False,1000,True,11,1,1,0
14,1,8,2000,1.3,False,0,True,14,4,4,0
14,2,8,2000,1.3,False,0,True,0,2,0,0
14,3,8,2000,1.3,False,0,True,0,1,2,0
15,0,8,2000,1.3,False,1000,True,0,5,7,1
15,1,8,2000,1.3,False,0,True,0,2,0,1
15,2,8,2000,1.3,False,0,True,11,1,1,1
15,3,8,2000,1.3,False,0,True,0,0,1,1
16,0,8,2000,1.3,False,1000,True,11,1,1,2
16,1,8,2000,1.3,False,0,True,0,4,2,2
16,2,8,2000,1.3,False,0,True,0,0,1,2
16,3,8,2000,1.3,False,0,True,13,3,3,2
17,0,8,2000,1.3,False,1000,True,12,2,2,3
17,1,8,2000,1.3,False,0,True,0,4,5,3
17,2,8,2000,1.3,False,0,True,0,1,0,3
17,3,8,2000,1.3,False,0,True,0,1,0,3
18,0,8,2000,1.3,False,1000,True,11,1,1,1
18,1,8,2000,1.3,False,0,True,15,5,5,1
18,2,8,2000,1.3,False,0,True,0,1,2,1
18,3,8,2000,1.3,False,0,True,11,1,1,1
19,0,8,2000,1.3,False,1000,True,0,3,1,0
19,1,8,2000,1.3,False,0,True,11,1,1,0
19,2,8,2000,1.3,False,0,True,0,1,2,0
19,3,8,2000,1.3,False,0,True,0,3,5,0
20,0,8,2000,1.3,False,1000,True,10,0,0,1
20,1,8,2000,1.3,False,0,True,12,2,2,1
20,2,8,2000,1.3,False,0,True,0,4,3,1
20,3,8,2000,1.3,False,0,True,12,2,2,1
21,0,8,2000,1.3,False,1000,True,0,1,3,1
21,1,8,2000,1.3,False,0,True,13,3,3,1
21,2,8,2000,1.3,False,0,True,0,1,2,1
21,3,8,2000,1.3,False,0,True,0,3,1,1
22,0,8,2000,1.3,False,1000,True,0,1,2,1
22,1,8,2000,1.3,False,0,True,0,4,3,1
22,2,8,2000,1.3,False,0,True,0,2,1,1
22,3,8,2000,1.3,False,0,True,0,1,3,1
23,0,8,2000,1.3,False,1000,True,12,2,2,2
23,1,8,2000,1.3,False,0,True,13,3,3,2
23,2,8,2000,1.3,False,0,True,0,1,2,2
23,3,8,2000,1.3,False,0,True,12,2,2,2
24,0,8,2000,1.3,False,1000,True,13,3,3,3
24,1,8,2000,1.3,False,0,True,11,1,1,3
24,2,8,2000,1.3,False,0,True,0,3,1,3
24,3,8,2000,1.3,False,0,True,0,1,4,3
25,0,8,2000,1.3,False,1000,True,13,3,3,3
25,1,8,2000,1.3,False,0,True,0,0,1,3
25,2,8,2000,1.3,False,0,True,0,3,4,3
25,3,8,2000,1.3,False,0,True,0,2,1,3
26,0,8,2000,1.3,False,1000,True,0,2,0,1
26,1,8,2000,1.3,False,0,True,14,4,4,1
26,2,8,2000,1.3,False,0,True,0,1,3,1
26,3,8,2000,1.3,False,0,True,0,1,3,1
27,0,8,2000,1.3,False,1000,True,12,2,2,3
27,1,8,2000,1.3,False,0,True,0,1,3,3
27,2,8,2000,1.3,False,0,True,0,4,2,3
27,3,8,2000,1.3,False,0,True,0,1,0,3
28,0,8,2000,1.3,False,1000,True,0,3,2,0
28,1,8,2000,1.3,False,0,True,0,3,2,0
28,2,8,2000,1.3,False,0,True,0,1,2,0
28,3,8,2000,1.3,False,0,True,11,1,1,0
29,0,8,2000,1.3,False,1000,True,10,0,0,0
29,1,8,2000,1.3,False,0,True,12,2,2,0
29,2,8,2000,1.3,False,0,True,14,4,4,0
29,3,8,2000,1.3,False,0,True,0,2,1,0
30,0,8,2000,1.3,False,1000,True,0,2,3,2
30,1,8,2000,1.3,False,0,True,0,1,2,2
30,2,8,2000,1.3,False,0,True,0,3,1,2
30,3,8,2000,1.3,False,0,True,0,2,1,2
31,0,8,2000,1.3,False,1000,True,11,1,1,0
31,1,8,2000,1.3,False,0,True,0,1,0,0
31,2,8,2000,1.3,False,0,True,13,3,3,0
31,3,8,2000,1.3,False,0,True,13,3,3,0
32,0,8,2000,1.3,False,1000,True,0,1,2,0
32,1,8,2000,1.3,False,0,True,0,2,1,0
32,2,8,2000,1.3,False,0,True,0,2,3,0
32,3,8,2000,1.3,False,0,True,13,3,3,0
33,0,8,2000,1.3,False,1000,True,0,4,3,1
33,1,8,2000,1.3,False,0,True,0,3,1,1
33,2,8,2000,1.3,False,0,True,0,1,2,1
33,3,8,2000,1.3,False,0,True,0,0,1,1
34,0,8,2000,1.3,False,1000,True,14,4,4,2
34,1,8,2000,1.3,False,0,True,10,0,0,2
34,2,8,2000,1.3,False,0,True,0,3,2,2
34,3,8,2000,1.3,False,0,True,11,1,1,2
35,0,8,2000,1.3,False,1000,True,17,7,7,2
35,1,8,2000,1.3,False,0,True,10,0,0,2
35,2,8,2000,1.3,False,0,True,10,0,0,2
35,3,8,2000,1.3,False,0,True,0,1,2,2
36,0,8,2000,1.3,False,1000,True,0,4,3,2
36,1,8,2000,1.3,False,0,True,11,1,1,2
36,2,8,2000,1.3,False,0,True,10,0,0,2
36,3,8,2000,1.3,False,0,True,13,3,3,2
37,0,8,2000,1.3,False,1000,True,0,2,3,0
37,1,8,2000,1.3,False,0,True,12,2,2,0
37,2,8,2000,1.3,False,0,True,0,3,4,0
37,3,8,2000,1.3,False,0,True,0,1,0,0
38,0,8,2000,1.3,False,1000,True,12,2,2,3
38,1,8,2000,1.3,False,0,True,0,1,3,3
38,2,8,2000,1.3,False,0,True,0,1,0,3
38,3,8,2000,1.3,False,0,True,14,4,4,3
39,0,8,2000,1.3,False,1000,True,0,1,0,1
39,1,8,2000,1.3,False,0,True,0,1,2,1
39,2,8,2000,1.3,False,0,True,0,3,2,1
