winner,score1,score2,score3,score0,score4,dealer,round1,round2,round3,round4,round5,round6,round7,round8,round9,round10,round11,round12,round13,round14,round15,round16,round17,round18,round19
2,143,146,108,136,133,3,"[10, 12, 13, 0, 15]","[14, 0, 0, 10, 11]","[14, 0, 11, 0, 0]","[14, 11, 11, 0, 10]","[0, 12, 12, 11, 10]","[0, 11, 0, 0, 10]","[11, 10, 12, 11, 0]","[10, 11, 0, 11, 10]","[10, 10, 10, 10, 0]","[10, 10, 0, 10, 10]","[10, 11, 10, 0, 10]","[10, 10, 12, 11, 0]","[0, 0, 10, 0, 10]","[12, 0, 10, 0, 0]","[0, 13, 12, 10, 11]","[11, 0, 10, 0, 0]","[0, 0, 0, 12, 12]","[0, 11, 0, 12, 14]","[0, 11, 13, 0, 0]"
3,142,144,165,141,129,4,"[12, 12, 0, 15, 10]","[10, 0, 0, 10, 11]","[10, 11, 0, 13, 10]","[0, 0, 12, 10, 0]","[0, 0, 10, 0, 11]","[10, 13, 11, 11, 0]","[10, 10, 11, 0, 11]","[0, 11, 11, 10, 10]","[0, 10, 0, 10, 10]","[10, 10, 10, 10, 0]","[11, 10, 11, 10, 0]","[11, 10, 11, 10, 0]","[10, 11, 10, 11, 0]","[11, 10, 0, 11, 12]","[0, 12, 10, 10, 0]","[10, 0, 12, 14, 10]","[14, 0, 12, 10, 11]","[12, 0, 0, 0, 12]","[0, 12, 13, 0, 11]"
0,143,120,88,146,132,0,"[14, 0, 12, 0, 13]","[12, 0, 0, 10, 11]","[13, 0, 12, 10, 11]","[0, 14, 10, 0, 0]","[12, 10, 10, 14, 0]","[0, 11, 11, 11, 10]","[10, 10, 0, 0, 12]","[11, 0, 0, 0, 0]","[10, 10, 11, 0, 10]","[0, 10, 10, 10, 10]","[12, 10, 10, 0, 10]","[0, 0, 10, 0, 10]","[10, 0, 0, 10, 11]","[10, 11, 0, 0, 0]","[11, 10, 12, 12, 0]","[10, 12, 12, 11, 0]","[0, 12, 0, 0, 12]","[11, 12, 0, 0, 0]","[0, 11, 0, 0, 12]"
3,118,100,161,88,118,1,"[10, 0, 0, 0, 13]","[0, 0, 0, 12, 10]","[0, 10, 0, 14, 11]","[11, 11, 13, 11, 0]","[0, 0, 0, 12, 0]","[0, 11, 0, 11, 0]","[0, 11, 0, 10, 10]","[10, 12, 10, 0, 10]","[10, 10, 11, 11, 0]","[0, 10, 10, 11, 10]","[0, 0, 10, 0, 10]","[0, 0, 0, 10, 10]","[10, 0, 10, 10, 12]","[12, 10, 11, 12, 0]","[14, 10, 0, 0, 0]","[0, 0, 0, 11, 0]","[11, 11, 0, 11, 12]","[0, 0, 13, 0, 0]","[0, 12, 12, 15, 10]"
4,136,120,103,123,158,2,"[15, 11, 12, 12, 0]","[0, 11, 0, 0, 0]","[0, 11, 0, 0, 14]","[0, 11, 13, 11, 10]","[11, 0, 0, 0, 12]","[10, 14, 11, 0, 10]","[11, 0, 11, 0, 10]","[0, 10, 0, 12, 0]","[0, 10, 11, 11, 10]","[10, 0, 11, 10, 10]","[10, 10, 0, 11, 11]","[0, 0, 0, 12, 10]","[0, 0, 0, 11, 10]","[12, 10, 0, 13, 10]","[11, 12, 11, 0, 10]","[0, 13, 11, 0, 0]","[10, 0, 15, 0, 11]","[13, 0, 0, 0, 10]","[10, 13, 14, 0, 10]"
4,110,129,136,150,151,3,"[11, 0, 12, 12, 12]","[11, 12, 0, 0, 12]","[0, 0, 13, 10, 0]","[10, 0, 0, 0, 10]","[11, 0, 10, 13, 10]","[0, 12, 10, 12, 10]","[10, 10, 0, 12, 10]","[0, 10, 11, 11, 10]","[0, 12, 10, 10, 10]","[11, 10, 0, 10, 10]","[11, 0, 10, 10, 10]","[11, 10, 0, 0, 0]","[11, 0, 10, 11, 12]","[11, 0, 11, 12, 10]","[11, 0, 11, 0, 11]","[10, 12, 11, 0, 0]","[10, 0, 10, 0, 14]","[11, 10, 0, 0, 0]","[0, 12, 0, 13, 0]"
4,148,143,142,99,148,4,"[0, 12, 12, 14, 11]","[0, 12, 11, 13, 0]","[11, 11, 12, 12, 0]","[0, 13, 14, 10, 10]","[0, 12, 10, 10, 11]","[0, 0, 10, 0, 10]","[11, 10, 11, 0, 12]","[0, 0, 0, 10, 10]","[10, 10, 0, 11, 11]","[0, 10, 10, 10, 10]","[0, 11, 10, 10, 11]","[0, 0, 10, 10, 0]","[0, 0, 0, 10, 10]","[13, 10, 0, 10, 10]","[11, 14, 10, 0, 11]","[11, 12, 0, 12, 10]","[10, 11, 11, 0, 0]","[11, 0, 12, 0, 0]","[11, 0, 0, 0, 11]"
0,131,168,119,175,146,0,"[10, 12, 12, 0, 13]","[10, 13, 11, 0, 12]","[11, 0, 12, 12, 12]","[10, 11, 12, 0, 0]","[10, 0, 10, 11, 11]","[10, 10, 14, 0, 11]","[0, 11, 10, 0, 0]","[11, 0, 10, 10, 11]","[11, 10, 10, 11, 0]","[11, 10, 10, 10, 0]","[0, 10, 10, 10, 10]","[11, 0, 0, 0, 10]","[11, 10, 0, 11, 10]","[10, 12, 0, 11, 11]","[11, 0, 12, 11, 11]","[12, 10, 0, 0, 0]","[0, 0, 11, 0, 12]","[14, 12, 11, 11, 0]","[12, 0, 13, 11, 12]"
2,130,146,124,131,97,1,"[13, 12, 0, 0, 11]","[10, 0, 0, 14, 11]","[12, 0, 0, 0, 0]","[11, 12, 11, 12, 0]","[12, 10, 0, 11, 0]","[10, 12, 11, 12, 0]","[10, 11, 12, 10, 0]","[0, 0, 0, 11, 10]","[11, 10, 10, 10, 0]","[0, 11, 10, 10, 10]","[10, 0, 10, 0, 0]","[10, 10, 10, 0, 11]","[0, 0, 10, 0, 11]","[11, 10, 0, 12, 11]","[0, 11, 12, 11, 10]","[0, 11, 12, 0, 0]","[0, 10, 13, 0, 0]","[0, 0, 13, 11, 12]","[11, 0, 12, 0, 0]"
3,132,150,170,106,159,2,"[11, 0, 10, 0, 12]","[0, 13, 12, 11, 10]","[0, 0, 11, 11, 0]","[0, 12, 10, 10, 0]","[0, 12, 10, 14, 10]","[0, 10, 0, 0, 10]","[0, 10, 0, 11, 10]","[11, 10, 11, 11, 0]","[10, 0, 10, 11, 10]","[10, 0, 10, 10, 10]","[10, 11, 0, 10, 10]","[10, 0, 11, 11, 10]","[10, 10, 12, 0, 11]","[0, 11, 10, 11, 11]","[11, 0, 10, 11, 0]","[11, 10, 11, 0, 11]","[0, 0, 0, 12, 13]","[0, 12, 12, 11, 10]","[12, 11, 0, 15, 11]"
