winner,score1,score2,score3,score0,dealer,round1,round2,round3,round4,round5,round6,round7,round8,round9,round10,round11,round12,round13,round14,round15,round16,round17,round18,round19
2,75,173,121,113,3,"[0, 0, 10, 0]","[11, 0, 0, 11]","[14, 11, 10, 0]","[0, 0, 0, 12]","[10, 0, 15, 11]","[0, 11, 10, 0]","[0, 0, 11, 11]","[0, 11, 10, 10]","[10, 11, 11, 0]","[0, 10, 10, 10]","[10, 0, 11, 11]","[10, 0, 0, 0]","[12, 10, 10, 0]","[0, 0, 13, 10]","[13, 0, 12, 10]","[0, 0, 14, 0]","[12, 0, 0, 0]","[0, 11, 12, 13]","[11, 0, 14, 12]"
3,63,81,174,139,0,"[10, 0, 14, 12]","[12, 0, 0, 11]","[14, 0, 0, 0]","[11, 0, 11, 0]","[12, 11, 0, 12]","[10, 11, 0, 12]","[0, 10, 0, 11]","[0, 10, 11, 11]","[0, 0, 0, 11]","[0, 11, 10, 10]","[10, 0, 12, 10]","[0, 0, 0, 10]","[12, 10, 0, 11]","[10, 0, 0, 10]","[11, 0, 13, 10]","[13, 0, 10, 11]","[0, 0, 0, 0]","[0, 0, 0, 11]","[14, 0, 0, 11]"
2,117,159,138,126,1,"[0, 0, 11, 0]","[12, 0, 11, 0]","[11, 0, 12, 14]","[13, 0, 13, 11]","[12, 0, 11, 11]","[0, 10, 0, 0]","[11, 11, 11, 0]","[0, 10, 0, 0]","[10, 0, 11, 10]","[10, 10, 10, 0]","[0, 11, 10, 10]","[0, 10, 11, 10]","[0, 10, 13, 10]","[10, 12, 0, 0]","[12, 0, 11, 11]","[0, 11, 0, 11]","[13, 0, 13, 11]","[0, 10, 11, 14]","[12, 12, 0, 15]"
1,164,137,100,103,2,"[0, 13, 14, 0]","[0, 12, 15, 11]","[0, 13, 0, 0]","[12, 0, 10, 13]","[11, 11, 0, 14]","[0, 0, 12, 0]","[13, 10, 0, 10]","[13, 10, 10, 0]","[10, 10, 0, 0]","[10, 10, 0, 10]","[0, 11, 10, 10]","[0, 10, 10, 12]","[11, 11, 11, 0]","[11, 13, 11, 0]","[0, 13, 11, 10]","[0, 0, 12, 0]","[0, 0, 0, 0]","[0, 17, 0, 10]","[12, 0, 11, 0]"
0,111,152,143,174,3,"[14, 10, 11, 0]","[11, 13, 0, 0]","[11, 0, 0, 12]","[12, 0, 13, 0]","[11, 11, 0, 14]","[0, 11, 12, 10]","[12, 0, 11, 11]","[0, 0, 10, 0]","[11, 10, 10, 0]","[11, 10, 0, 10]","[11, 0, 10, 11]","[10, 0, 11, 11]","[12, 0, 10, 10]","[13, 10, 0, 11]","[12, 12, 0, 10]","[11, 10, 12, 0]","[0, 0, 14, 12]","[0, 14, 14, 10]","[12, 0, 14, 11]"
1,171,152,108,119,0,"[0, 11, 16, 11]","[10, 13, 12, 0]","[0, 13, 0, 0]","[11, 13, 10, 0]","[11, 11, 11, 0]","[10, 0, 11, 12]","[11, 10, 0, 12]","[0, 10, 0, 10]","[0, 11, 10, 10]","[10, 0, 11, 10]","[10, 0, 11, 11]","[0, 10, 11, 0]","[0, 10, 12, 11]","[12, 10, 0, 0]","[11, 0, 14, 10]","[11, 13, 11, 0]","[0, 12, 12, 11]","[0, 11, 0, 0]","[12, 13, 0, 0]"
3,126,127,142,109,1,"[0, 13, 12, 11]","[11, 12, 15, 0]","[0, 13, 12, 10]","[11, 12, 0, 0]","[11, 0, 0, 0]","[0, 11, 0, 10]","[0, 11, 10, 11]","[12, 10, 10, 0]","[0, 0, 10, 0]","[10, 10, 0, 10]","[10, 10, 0, 12]","[0, 0, 10, 10]","[10, 0, 12, 10]","[11, 0, 0, 12]","[0, 0, 11, 0]","[0, 12, 11, 12]","[13, 12, 0, 11]","[0, 0, 14, 11]","[10, 0, 0, 12]"
2,122,178,118,140,2,"[10, 0, 12, 16]","[12, 0, 11, 11]","[0, 11, 12, 12]","[11, 11, 11, 0]","[0, 0, 10, 10]","[12, 0, 10, 0]","[10, 10, 12, 0]","[0, 13, 10, 10]","[10, 10, 0, 11]","[10, 10, 11, 0]","[10, 11, 10, 0]","[0, 0, 10, 0]","[11, 10, 11, 0]","[11, 12, 0, 10]","[11, 10, 0, 15]","[11, 0, 11, 0]","[11, 0, 13, 12]","[0, 0, 13, 0]","[0, 14, 11, 11]"
0,123,123,128,162,3,"[11, 12, 0, 16]","[11, 0, 12, 14]","[11, 14, 11, 0]","[10, 13, 0, 12]","[10, 11, 0, 0]","[11, 0, 11, 10]","[11, 10, 11, 0]","[12, 10, 0, 10]","[10, 11, 11, 0]","[0, 10, 10, 10]","[11, 0, 11, 10]","[0, 10, 0, 0]","[11, 10, 11, 0]","[10, 0, 10, 14]","[10, 0, 0, 0]","[0, 0, 0, 11]","[0, 12, 0, 11]","[10, 0, 14, 10]","[13, 0, 11, 0]"
3,88,136,151,118,0,"[13, 11, 0, 15]","[12, 12, 12, 0]","[0, 0, 0, 12]","[0, 11, 12, 14]","[11, 0, 11, 11]","[0, 0, 10, 0]","[10, 0, 13, 10]","[10, 11, 11, 0]","[11, 0, 11, 10]","[10, 10, 0, 10]","[10, 0, 12, 10]","[0, 0, 10, 0]","[10, 0, 10, 12]","[10, 0, 11, 13]","[11, 0, 0, 0]","[0, 12, 0, 0]","[0, 0, 0, 11]","[0, 11, 13, 11]","[0, 10, 0, 12]"
