winner,score1,score2,score3,score0,dealer,round1,round2,round3,round4,round5,round6,round7,round8,round9,round10,round11,round12,round13,round14,round15,round16,round17,round18,round19
2,155,159,141,145,3,"[0, 13, 15, 10]","[0, 11, 14, 11]","[12, 14, 0, 10]","[11, 0, 12, 0]","[0, 13, 10, 11]","[14, 0, 0, 10]","[10, 10, 0, 11]","[10, 10, 11, 0]","[10, 11, 11, 0]","[10, 0, 10, 10]","[12, 0, 10, 10]","[0, 10, 10, 10]","[11, 11, 10, 12]","[10, 0, 11, 0]","[11, 13, 12, 0]","[0, 12, 12, 12]","[12, 0, 0, 10]","[12, 13, 11, 0]","[0, 14, 0, 14]"
0,111,99,123,170,0,"[0, 0, 13, 11]","[11, 0, 10, 14]","[13, 12, 0, 11]","[0, 10, 0, 0]","[12, 11, 12, 0]","[11, 0, 0, 0]","[10, 0, 11, 11]","[10, 0, 12, 10]","[0, 11, 0, 0]","[10, 0, 10, 10]","[11, 11, 10, 0]","[10, 10, 0, 10]","[13, 0, 10, 0]","[10, 0, 0, 10]","[13, 10, 0, 11]","[13, 0, 11, 0]","[11, 11, 0, 12]","[12, 11, 0, 13]","[0, 14, 0, 0]"
3,112,120,158,113,1,"[0, 12, 0, 13]","[12, 11, 0, 13]","[13, 0, 11, 0]","[0, 0, 0, 12]","[0, 10, 12, 12]","[11, 0, 13, 10]","[10, 11, 0, 10]","[0, 0, 10, 0]","[10, 0, 10, 11]","[10, 10, 0, 10]","[10, 10, 0, 11]","[0, 10, 10, 11]","[0, 0, 11, 0]","[0, 11, 0, 0]","[10, 0, 13, 11]","[14, 13, 10, 10]","[13, 0, 10, 12]","[0, 14, 10, 12]","[0, 0, 0, 0]"
2,168,177,81,123,2,"[11, 16, 12, 0]","[0, 11, 12, 12]","[0, 10, 15, 0]","[11, 10, 11, 0]","[0, 11, 0, 0]","[12, 0, 10, 11]","[0, 10, 10, 14]","[10, 10, 11, 0]","[11, 0, 11, 10]","[0, 10, 10, 10]","[10, 0, 10, 10]","[11, 10, 10, 0]","[0, 12, 10, 0]","[11, 12, 11, 0]","[11, 10, 0, 0]","[0, 10, 0, 0]","[0, 12, 11, 14]","[11, 0, 12, 0]","[14, 14, 11, 0]"
0,128,140,152,159,3,"[13, 12, 12, 0]","[12, 12, 0, 13]","[12, 0, 14, 11]","[10, 13, 0, 12]","[12, 0, 0, 0]","[11, 0, 10, 11]","[10, 12, 0, 11]","[12, 11, 0, 10]","[0, 10, 10, 10]","[0, 10, 10, 11]","[12, 0, 10, 10]","[11, 11, 0, 10]","[10, 0, 0, 0]","[12, 12, 11, 0]","[0, 13, 12, 10]","[0, 12, 13, 11]","[12, 0, 11, 10]","[10, 0, 13, 12]","[0, 0, 14, 0]"
3,117,146,149,145,0,"[0, 11, 11, 0]","[11, 0, 0, 0]","[0, 0, 11, 14]","[11, 11, 14, 0]","[12, 11, 11, 0]","[10, 11, 0, 13]","[10, 0, 11, 0]","[10, 0, 0, 10]","[0, 11, 10, 10]","[10, 10, 0, 10]","[11, 10, 11, 10]","[10, 0, 10, 12]","[10, 0, 12, 11]","[0, 11, 10, 12]","[0, 10, 12, 11]","[13, 10, 0, 13]","[0, 0, 12, 11]","[13, 11, 11, 0]","[14, 0, 0, 12]"
3,108,141,162,147,1,"[11, 0, 13, 12]","[12, 13, 0, 14]","[11, 0, 13, 11]","[13, 0, 11, 13]","[0, 14, 11, 11]","[0, 10, 15, 0]","[0, 0, 10, 0]","[12, 0, 10, 0]","[10, 11, 10, 11]","[10, 0, 10, 11]","[10, 10, 0, 12]","[0, 0, 0, 11]","[10, 13, 0, 0]","[10, 0, 13, 10]","[0, 11, 13, 11]","[0, 12, 0, 12]","[12, 0, 12, 11]","[13, 0, 0, 0]","[13, 14, 0, 12]"
2,106,173,165,138,2,"[0, 12, 11, 13]","[13, 10, 12, 0]","[10, 0, 13, 13]","[0, 0, 0, 10]","[12, 0, 11, 0]","[12, 0, 0, 10]","[11, 10, 10, 0]","[0, 10, 0, 10]","[0, 0, 10, 10]","[10, 10, 10, 0]","[11, 11, 10, 10]","[12, 0, 10, 10]","[0, 10, 14, 10]","[10, 0, 12, 13]","[11, 0, 13, 10]","[12, 11, 0, 10]","[0, 11, 13, 12]","[0, 11, 14, 10]","[14, 0, 10, 14]"
1,159,132,122,99,3,"[12, 11, 0, 15]","[10, 0, 11, 16]","[0, 0, 10, 13]","[11, 10, 0, 0]","[10, 11, 0, 0]","[0, 12, 11, 11]","[0, 11, 11, 11]","[0, 11, 12, 10]","[11, 10, 11, 0]","[0, 11, 10, 10]","[0, 0, 10, 10]","[0, 10, 10, 0]","[10, 11, 0, 13]","[0, 10, 0, 0]","[12, 14, 10, 0]","[0, 0, 12, 0]","[11, 0, 14, 13]","[12, 11, 0, 0]","[0, 16, 0, 0]"
2,117,138,121,132,0,"[0, 0, 12, 0]","[13, 10, 14, 0]","[0, 10, 0, 0]","[0, 0, 11, 10]","[0, 12, 11, 11]","[10, 13, 12, 0]","[0, 0, 10, 10]","[11, 10, 0, 10]","[10, 10, 10, 0]","[10, 0, 10, 10]","[10, 10, 0, 11]","[10, 12, 0, 11]","[0, 0, 12, 10]","[11, 10, 11, 0]","[0, 10, 0, 13]","[11, 0, 12, 0]","[11, 10, 0, 0]","[13, 0, 13, 13]","[12, 0, 0, 12]"
2,143,164,159,134,1,"[12, 0, 12, 15]","[11, 0, 13, 12]","[10, 0, 15, 0]","[0, 11, 13, 12]","[11, 11, 13, 0]","[0, 10, 12, 11]","[0, 11, 10, 10]","[0, 10, 0, 10]","[10, 11, 0, 11]","[0, 11, 10, 10]","[11, 10, 0, 11]","[11, 10, 0, 10]","[12, 0, 10, 10]","[13, 10, 0, 11]","[10, 0, 11, 0]","[0, 13, 10, 12]","[11, 12, 11, 0]","[0, 0, 12, 14]","[12, 13, 12, 0]"
1,200,90,148,153,2,"[12, 12, 0, 13]","[0, 12, 13, 13]","[0, 13, 12, 0]","[0, 12, 10, 0]","[10, 12, 0, 13]","[12, 10, 12, 0]","[11, 11, 0, 11]","[10, 10, 0, 11]","[10, 11, 0, 11]","[10, 10, 0, 10]","[11, 10, 0, 11]","[10, 12, 0, 10]","[10, 0, 10, 10]","[12, 0, 10, 0]","[13, 11, 11, 0]","[10, 14, 0, 12]","[0, 14, 0, 11]","[12, 13, 0, 0]","[0, 13, 12, 12]"
3,110,114,137,135,3,"[12, 0, 12, 0]","[11, 0, 11, 16]","[11, 0, 0, 12]","[12, 0, 10, 11]","[12, 12, 0, 10]","[0, 12, 11, 12]","[0, 11, 11, 11]","[10, 0, 0, 0]","[10, 11, 11, 0]","[0, 10, 11, 10]","[10, 10, 11, 11]","[11, 12, 0, 10]","[10, 10, 0, 0]","[0, 11, 0, 12]","[0, 0, 0, 10]","[0, 0, 0, 0]","[0, 11, 12, 12]","[11, 0, 14, 0]","[15, 0, 0, 0]"
3,92,139,164,160,0,"[10, 15, 0, 0]","[12, 0, 11, 14]","[11, 12, 0, 12]","[10, 0, 12, 12]","[10, 11, 12, 0]","[11, 0, 12, 10]","[0, 0, 0, 10]","[10, 11, 0, 12]","[0, 10, 11, 10]","[10, 0, 10, 11]","[10, 10, 10, 0]","[11, 0, 0, 10]","[0, 12, 10, 12]","[10, 0, 12, 0]","[11, 0, 0, 0]","[12, 0, 13, 12]","[0, 11, 0, 12]","[12, 0, 13, 13]","[10, 0, 13, 14]"
0,102,136,101,142,1,"[14, 0, 0, 12]","[16, 12, 0, 10]","[0, 10, 0, 15]","[0, 12, 10, 0]","[0, 15, 11, 0]","[0, 11, 0, 11]","[10, 0, 10, 0]","[0, 0, 10, 0]","[11, 0, 10, 10]","[10, 10, 10, 0]","[10, 0, 10, 0]","[13, 10, 10, 0]","[10, 0, 11, 11]","[11, 11, 0, 10]","[13, 0, 10, 11]","[0, 11, 11, 0]","[10, 0, 0, 0]","[14, 0, 12, 11]","[0, 0, 11, 0]"
